ал;епымуло;омола;йыдийос мпс;омола мпс;йыдийос ппс;омола ппс;бахлос
SR000029;епымуло 0029;омола 0029;ICE1-5003;амакусг йаи сведиаслос пкгяожояиайым сустглатым;P1-5020;амакусг йаи сведиаслос пкгяожояиайым сустглатым;8.1
SR000029;епымуло 0029;омола 0029;ICE1-5004;тевмгтг моглосумг;P1-5030;тевмгтг моглосумг;6.8
SR000029;епымуло 0029;омола 0029;ICE1-5006;еисацыцг стом паяаккгко упокоцисло;P1-5040;еисацыцг стом паяаккгко упокоцисло;1.8
SR000029;епымуло 0029;омола 0029;ICE1-6002;асжакеиа стгм тевмокоциа тгс пкгяожояиас;P1-6010;асжакеиа стгм тевмокоциа тгс пкгяожояиас;0.3
SR000029;епымуло 0029;омола 0029;ICE1-6003;летацкыттистес;P1-6020;летацкыттистес;4
SR000029;епымуло 0029;омола 0029;ICE1-7101;сведиаслос йаи амаптунг пкгяожояиайым сустглатым;P1-6110;сведиаслос йаи амаптунг пкгяожояиайым сустглатым;2
SR000029;епымуло 0029;омола 0029;ICE1-7102;амайтгсг пкгяожояиас;P1-6120;амайтгсг пкгяожояиас;0.3
SR000029;епымуло 0029;омола 0029;ICE1-8101;аккгкепидяасг амхяыпоу-упокоцистг;P1-5120;аккгкепидяасг амхяыпоу-упокоцистг;0.3
SR000029;епымуло 0029;омола 0029;ICE1-7107;епенеяцасиа еийомас;P1-9125;епенеяцасиа еийомас;8.6
SR000030;епымуло 0030;омола 0030;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;10
SR000030;епымуло 0030;омола 0030;ICE1-1002;цяаллийг акцебяа;P1-1020;цяаллийг акцебяа;10
SR000030;епымуло 0030;омола 0030;ICE1-1003;еисацыцг стгм епистглг тым упокоцистым;P1-1030;еисацыцг стгм епистглг тым упокоцистым;2
SR000030;епымуло 0030;омола 0030;ICE1-1005;диайяита лахглатийа;P1-1050;диайяита лахглатийа;7.5
SR000030;епымуло 0030;омола 0030;ICE1-1006;жусийг;P1-1060;жусийг;1.8
SR000030;епымуло 0030;омола 0030;ICE1-2001;сведиасг йаи амакусг акцояихлым;P1-2050;сведиасг йаи амакусг акцояихлым;7.5
SR000030;епымуло 0030;омола 0030;ICE1-2002;пихамотгтес йаи статистийг;P1-2020;пихамотгтес йаи статистийг;10
SR000030;епымуло 0030;омола 0030;ICE1-2005;ьгжиайг сведиасг;P1-2010;ьгжиайг сведиасг;0.3
SR000030;епымуло 0030;омола 0030;ICE1-2006;хеыяиа йуйкылатым;P1-2060;хеыяиа йуйкылатым;1.1
SR000030;епымуло 0030;омола 0030;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;3.5
SR000034;епымуло 0034;омола 0034;ICE1-2005;ьгжиайг сведиасг;P1-2010;ьгжиайг сведиасг;7.5
SR000034;епымуло 0034;омола 0034;ICE1-4004;леходокоциес амаптунгс ежаялоцым;P1-4040;леходокоциес амаптунгс ежаялоцым;0.4
SR000034;епымуло 0034;омола 0034;ICE1-8101;аккгкепидяасг амхяыпоу-упокоцистг;P1-5120;аккгкепидяасг амхяыпоу-упокоцистг;4.3
SR000036;епымуло 0036;омола 0036;ICE1-1006;жусийг;P1-1060;жусийг;7.4
SR000036;епымуло 0036;омола 0036;ICE1-3004;дийтуа упокоцистым и;P1-3040;дийтуа упокоцистым и;3.4
SR000037;епымуло 0037;омола 0037;ICE1-3004;дийтуа упокоцистым и;P1-3040;дийтуа упокоцистым и;8.6
SR000037;епымуло 0037;омола 0037;ICE1-3006;аявитейтомийг упокоцистым;P1-3060;аявитейтомийг упокоцистым;1.1
SR000037;епымуло 0037;омола 0037;ICE1-4003;кеитоуяцийа сустглата ии;P1-4030;кеитоуяцийа сустглата ии;0.3
SR000037;епымуло 0037;омола 0037;ICE1-5003;амакусг йаи сведиаслос пкгяожояиайым сустглатым;P1-5020;амакусг йаи сведиаслос пкгяожояиайым сустглатым;0.3
SR000037;епымуло 0037;омола 0037;ICE1-8101;аккгкепидяасг амхяыпоу-упокоцистг;P1-5120;аккгкепидяасг амхяыпоу-упокоцистг;1.1
SR000038;епымуло 0038;омола 0038;ICE1-3002;гкейтяомийг;P1-3020;гкейтяомийг;2.9
SR000038;епымуло 0038;омола 0038;ICE1-5003;амакусг йаи сведиаслос пкгяожояиайым сустглатым;P1-5020;амакусг йаи сведиаслос пкгяожояиайым сустглатым;2.9
SR000038;епымуло 0038;омола 0038;ICE1-5004;тевмгтг моглосумг;P1-5030;тевмгтг моглосумг;0.3
SR000039;епымуло 0039;омола 0039;ICE1-6002;асжакеиа стгм тевмокоциа тгс пкгяожояиас;P1-6010;асжакеиа стгм тевмокоциа тгс пкгяожояиас;7.5
SR000040;епымуло 0040;омола 0040;ICE1-1002;цяаллийг акцебяа;P1-1020;цяаллийг акцебяа;8.6
SR000040;епымуло 0040;омола 0040;ICE1-2005;ьгжиайг сведиасг;P1-2010;ьгжиайг сведиасг;1.8
SR000040;епымуло 0040;омола 0040;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;10
SR000040;епымуло 0040;омола 0040;ICE1-4003;кеитоуяцийа сустглата ии;P1-4030;кеитоуяцийа сустглата ии;6.8
SR000040;епымуло 0040;омола 0040;ICE1-5003;амакусг йаи сведиаслос пкгяожояиайым сустглатым;P1-5020;амакусг йаи сведиаслос пкгяожояиайым сустглатым;10
SR000040;епымуло 0040;омола 0040;ICE1-5004;тевмгтг моглосумг;P1-5030;тевмгтг моглосумг;6.1
SR000040;епымуло 0040;омола 0040;ICE1-6002;асжакеиа стгм тевмокоциа тгс пкгяожояиас;P1-6010;асжакеиа стгм тевмокоциа тгс пкгяожояиас;4.7
SR000040;епымуло 0040;омола 0040;ICE1-7107;епенеяцасиа еийомас;P1-9125;епенеяцасиа еийомас;0.3
SR000042;епымуло 0042;омола 0042;ICE1-2002;пихамотгтес йаи статистийг;P1-2020;пихамотгтес йаи статистийг;6.8
SR000042;епымуло 0042;омола 0042;ICE1-3002;гкейтяомийг;P1-3020;гкейтяомийг;8.6
SR000042;епымуло 0042;омола 0042;ICE1-3004;дийтуа упокоцистым и;P1-3040;дийтуа упокоцистым и;3.4
SR000043;епымуло 0043;омола 0043;ICE1-1004;пяоцяаллатислос упокоцистым;P1-1040;пяоцяаллатислос упокоцистым;6.4
SR000043;епымуло 0043;омола 0043;ICE1-3001;акцояихлои йаи покупкойотгта;P1-3010;акцояихлои йаи покупкойотгта;1.8
SR000043;епымуло 0043;омола 0043;ICE1-4002;дийтуа упокоцистым ии;P1-4020;дийтуа упокоцистым ии;3.4
SR000044;епымуло 0044;омола 0044;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;8.6
SR000044;епымуло 0044;омола 0044;ICE1-1005;диайяита лахглатийа;P1-1050;диайяита лахглатийа;0.3
SR000044;епымуло 0044;омола 0044;ICE1-1006;жусийг;P1-1060;жусийг;3.5
SR000044;епымуло 0044;омола 0044;ICE1-2001;сведиасг йаи амакусг акцояихлым;P1-2050;сведиасг йаи амакусг акцояихлым;10
SR000044;епымуло 0044;омола 0044;ICE1-2002;пихамотгтес йаи статистийг;P1-2020;пихамотгтес йаи статистийг;0.3
SR000045;епымуло 0045;омола 0045;ICE1-3005;кеитоуяцийа сустглата и;P1-3050;кеитоуяцийа сустглата и;1.8
SR000045;епымуло 0045;омола 0045;ICE1-8203;асжакеиа йаи аниопистиа укийоу;P1-9215;асжакеиа йаи аниопистиа укийоу;7.5
SR000046;епымуло 0046;омола 0046;ICE1-5003;амакусг йаи сведиаслос пкгяожояиайым сустглатым;P1-5020;амакусг йаи сведиаслос пкгяожояиайым сустглатым;10
SR000046;епымуло 0046;омола 0046;ICE1-5004;тевмгтг моглосумг;P1-5030;тевмгтг моглосумг;10
SR000052;епымуло 0052;омола 0052;ICE1-2001;сведиасг йаи амакусг акцояихлым;P1-2050;сведиасг йаи амакусг акцояихлым;10
SR000052;епымуло 0052;омола 0052;ICE1-4005;сведиасг ьгжиайым сустглатым;P1-4050;сведиасг ьгжиайым сустглатым;10
SR000054;епымуло 0054;омола 0054;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;10
SR000054;епымуло 0054;омола 0054;ICE1-3004;дийтуа упокоцистым и;P1-3040;дийтуа упокоцистым и;0.3
SR000058;епымуло 0058;омола 0058;ICE1-8109;хеыяиа паицмиым;P1-9135;хеыяиа паицмиым;10
SR000058;епымуло 0058;омола 0058;ICE1-8305;еуяуфымийа дийтуа;P1-9340;еуяуфымийа дийтуа;7.5
SR000058;епымуло 0058;омола 0058;ICE1-8306;покулеса йаи покулесийес епийоимымиес;P1-9335;покулеса йаи покулесийес епийоимымиес;10
SR000059;епымуло 0059;омола 0059;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;10
SR000060;епымуло 0060;омола 0060;ICE1-1006;жусийг;P1-1060;жусийг;10
SR000060;епымуло 0060;омола 0060;ICE1-2006;хеыяиа йуйкылатым;P1-2060;хеыяиа йуйкылатым;8.6
SR000060;епымуло 0060;омола 0060;ICE1-5003;амакусг йаи сведиаслос пкгяожояиайым сустглатым;P1-5020;амакусг йаи сведиаслос пкгяожояиайым сустглатым;10
SR000060;епымуло 0060;омола 0060;ICE1-5004;тевмгтг моглосумг;P1-5030;тевмгтг моглосумг;10
SR000060;епымуло 0060;омола 0060;ICE1-5006;еисацыцг стом паяаккгко упокоцисло;P1-5040;еисацыцг стом паяаккгко упокоцисло;6.8
SR000060;епымуло 0060;омола 0060;ICE1-6002;асжакеиа стгм тевмокоциа тгс пкгяожояиас;P1-6010;асжакеиа стгм тевмокоциа тгс пкгяожояиас;9.6
SR000060;епымуло 0060;омола 0060;ICE1-6003;летацкыттистес;P1-6020;летацкыттистес;8.6
SR000060;епымуло 0060;омола 0060;ICE1-6005;йатамелглема сустглата;P1-9325;йатамелглема сустглата;3.4
SR000060;епымуло 0060;омола 0060;ICE1-6006;ьгжиайес епийоимымиес;P1-5320;ьгжиайес епийоимымиес;10
SR000060;епымуло 0060;омола 0060;ICE1-8104;епенеяцасиа жусийгс цкыссас йаи сгласиокоцийос истос;P1-9110;цкыссийг амакусг йаи диавеияисг пкгяожояиас;6.8
SR000063;епымуло 0063;омола 0063;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;7.5
SR000063;епымуло 0063;омола 0063;ICE1-1002;цяаллийг акцебяа;P1-1020;цяаллийг акцебяа;7.5
SR000063;епымуло 0063;омола 0063;ICE1-1005;диайяита лахглатийа;P1-1050;диайяита лахглатийа;7.5
SR000063;епымуло 0063;омола 0063;ICE1-1006;жусийг;P1-1060;жусийг;1.1
SR000063;епымуло 0063;омола 0063;ICE1-2005;ьгжиайг сведиасг;P1-2010;ьгжиайг сведиасг;3.4
SR000065;епымуло 0065;омола 0065;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;10
SR000065;епымуло 0065;омола 0065;ICE1-2002;пихамотгтес йаи статистийг;P1-2020;пихамотгтес йаи статистийг;7.5
SR000066;епымуло 0066;омола 0066;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;10
SR000066;епымуло 0066;омола 0066;ICE1-1006;жусийг;P1-1060;жусийг;0.3
SR000066;епымуло 0066;омола 0066;ICE1-2001;сведиасг йаи амакусг акцояихлым;P1-2050;сведиасг йаи амакусг акцояихлым;8.6
SR000066;епымуло 0066;омола 0066;ICE1-2002;пихамотгтес йаи статистийг;P1-2020;пихамотгтес йаи статистийг;8.6
SR000066;епымуло 0066;омола 0066;ICE1-2005;ьгжиайг сведиасг;P1-2010;ьгжиайг сведиасг;7.5
SR000066;епымуло 0066;омола 0066;ICE1-2006;хеыяиа йуйкылатым;P1-2060;хеыяиа йуйкылатым;8.6
SR000067;епымуло 0067;омола 0067;ICE1-1002;цяаллийг акцебяа;P1-1020;цяаллийг акцебяа;7.5
SR000067;епымуло 0067;омола 0067;ICE1-1005;диайяита лахглатийа;P1-1050;диайяита лахглатийа;0.3
SR000067;епымуло 0067;омола 0067;ICE1-4004;леходокоциес амаптунгс ежаялоцым;P1-4040;леходокоциес амаптунгс ежаялоцым;10
SR000067;епымуло 0067;омола 0067;ICE1-5003;амакусг йаи сведиаслос пкгяожояиайым сустглатым;P1-5020;амакусг йаи сведиаслос пкгяожояиайым сустглатым;4
SR000067;епымуло 0067;омола 0067;ICE1-5004;тевмгтг моглосумг;P1-5030;тевмгтг моглосумг;10
SR000067;епымуло 0067;омола 0067;ICE1-6002;асжакеиа стгм тевмокоциа тгс пкгяожояиас;P1-6010;асжакеиа стгм тевмокоциа тгс пкгяожояиас;3.5
SR000067;епымуло 0067;омола 0067;ICE1-7101;сведиаслос йаи амаптунг пкгяожояиайым сустглатым;P1-6110;сведиаслос йаи амаптунг пкгяожояиайым сустглатым;2.9
SR000067;епымуло 0067;омола 0067;ICE1-7102;амайтгсг пкгяожояиас;P1-6120;амайтгсг пкгяожояиас;7.5
SR000067;епымуло 0067;омола 0067;ICE1-8109;хеыяиа паицмиым;P1-9135;хеыяиа паицмиым;10
SR000070;епымуло 0070;омола 0070;ICE1-5004;тевмгтг моглосумг;P1-5030;тевмгтг моглосумг;2.5
SR000070;епымуло 0070;омола 0070;ICE1-7301;пяогцлемес дийтуайес тевмокоциес;P1-6320;пяогцлемес дийтуайес тевмокоциес;1.8
SR000071;епымуло 0071;омола 0071;ICE1-3001;акцояихлои йаи покупкойотгта;P1-3010;акцояихлои йаи покупкойотгта;4.3
SR000071;епымуло 0071;омола 0071;ICE1-6002;асжакеиа стгм тевмокоциа тгс пкгяожояиас;P1-6010;асжакеиа стгм тевмокоциа тгс пкгяожояиас;9.6
SR000071;епымуло 0071;омола 0071;ICE1-8101;аккгкепидяасг амхяыпоу-упокоцистг;P1-5120;аккгкепидяасг амхяыпоу-упокоцистг;9.6
SR000071;епымуло 0071;омола 0071;ICE1-8105;еужуг сустглата & сустглата упостгяингс апожасеым;P1-9150;еужуг сустглата & сустглата упостгяингс апожасеым;6.8
SR000071;епымуло 0071;омола 0071;ICE1-8107;гкейтяомийо елпояио - епивеияглатийотгта;P1-9160;гкейтяомийо елпояио - епивеияглатийотгта;3.4
SR000072;епымуло 0072;омола 0072;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;10
SR000072;епымуло 0072;омола 0072;ICE1-1002;цяаллийг акцебяа;P1-1020;цяаллийг акцебяа;10
SR000072;епымуло 0072;омола 0072;ICE1-1003;еисацыцг стгм епистглг тым упокоцистым;P1-1030;еисацыцг стгм епистглг тым упокоцистым;2.5
SR000072;епымуло 0072;омола 0072;ICE1-1005;диайяита лахглатийа;P1-1050;диайяита лахглатийа;8.6
SR000072;епымуло 0072;омола 0072;ICE1-1006;жусийг;P1-1060;жусийг;10
SR000072;епымуло 0072;омола 0072;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;10
SR000073;епымуло 0073;омола 0073;ICE1-3002;гкейтяомийг;P1-3020;гкейтяомийг;7.5
SR000073;епымуло 0073;омола 0073;ICE1-4004;леходокоциес амаптунгс ежаялоцым;P1-4040;леходокоциес амаптунгс ежаялоцым;1.1
SR000074;епымуло 0074;омола 0074;ICE1-3002;гкейтяомийг;P1-3020;гкейтяомийг;9
SR000074;епымуло 0074;омола 0074;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;10
SR000074;епымуло 0074;омола 0074;ICE1-5003;амакусг йаи сведиаслос пкгяожояиайым сустглатым;P1-5020;амакусг йаи сведиаслос пкгяожояиайым сустглатым;10
SR000076;епымуло 0076;омола 0076;ICE1-1006;жусийг;P1-1060;жусийг;3.5
SR000077;епымуло 0077;омола 0077;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;8.6
SR000077;епымуло 0077;омола 0077;ICE1-1006;жусийг;P1-1060;жусийг;3
SR000077;епымуло 0077;омола 0077;ICE1-2005;ьгжиайг сведиасг;P1-2010;ьгжиайг сведиасг;0.3
SR000077;епымуло 0077;омола 0077;ICE1-2006;хеыяиа йуйкылатым;P1-2060;хеыяиа йуйкылатым;7.5
SR000078;епымуло 0078;омола 0078;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;10
SR000078;епымуло 0078;омола 0078;ICE1-4003;кеитоуяцийа сустглата ии;P1-4030;кеитоуяцийа сустглата ии;0.3
SR000078;епымуло 0078;омола 0078;ICE1-4005;сведиасг ьгжиайым сустглатым;P1-4050;сведиасг ьгжиайым сустглатым;1.1
SR000078;епымуло 0078;омола 0078;ICE1-5001;басеис дедолемым ии;P1-4010;басеис дедолемым ии;8.6
SR000079;епымуло 0079;омола 0079;ICE1-3002;гкейтяомийг;P1-3020;гкейтяомийг;10
SR000080;епымуло 0080;омола 0080;ICE1-1003;еисацыцг стгм епистглг тым упокоцистым;P1-1030;еисацыцг стгм епистглг тым упокоцистым;3.5
SR000080;епымуло 0080;омола 0080;ICE1-1005;диайяита лахглатийа;P1-1050;диайяита лахглатийа;8.6
SR000080;епымуло 0080;омола 0080;ICE1-2001;сведиасг йаи амакусг акцояихлым;P1-2050;сведиасг йаи амакусг акцояихлым;7.5
SR000080;епымуло 0080;омола 0080;ICE1-2002;пихамотгтес йаи статистийг;P1-2020;пихамотгтес йаи статистийг;7.5
SR000080;епымуло 0080;омола 0080;ICE1-2005;ьгжиайг сведиасг;P1-2010;ьгжиайг сведиасг;1.8
SR000080;епымуло 0080;омола 0080;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;3.5
SR000081;епымуло 0081;омола 0081;ICE1-1005;диайяита лахглатийа;P1-1050;диайяита лахглатийа;7.5
SR000081;епымуло 0081;омола 0081;ICE1-1006;жусийг;P1-1060;жусийг;0.3
SR000081;епымуло 0081;омола 0081;ICE1-2001;сведиасг йаи амакусг акцояихлым;P1-2050;сведиасг йаи амакусг акцояихлым;3.5
SR000081;епымуло 0081;омола 0081;ICE1-2005;ьгжиайг сведиасг;P1-2010;ьгжиайг сведиасг;0.3
SR000082;епымуло 0082;омола 0082;ICE1-1003;еисацыцг стгм епистглг тым упокоцистым;P1-1030;еисацыцг стгм епистглг тым упокоцистым;1.4
SR000082;епымуло 0082;омола 0082;ICE1-2001;сведиасг йаи амакусг акцояихлым;P1-2050;сведиасг йаи амакусг акцояихлым;4.2
SR000082;епымуло 0082;омола 0082;ICE1-2002;пихамотгтес йаи статистийг;P1-2020;пихамотгтес йаи статистийг;10
SR000082;епымуло 0082;омола 0082;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;10
SR000083;епымуло 0083;омола 0083;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;10
SR000083;епымуло 0083;омола 0083;ICE1-2001;сведиасг йаи амакусг акцояихлым;P1-2050;сведиасг йаи амакусг акцояихлым;3.5
SR000083;епымуло 0083;омола 0083;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;10
SR000086;епымуло 0086;омола 0086;ICE1-8112;сведиасг паивмидиым & ежаялоцым еийомийгс & епаунглемгс пяацлатийотгтас;P1-9115;сведиаслос паивмидиым йаи ежаялоцым еийомийгс йаи епаунглемгс пяацлатийотгтас;10
SR000086;епымуло 0086;омола 0086;ICE1-7305;дийтуа оптийым епийоимымиым;P1-9315;дийтуа оптийым епийоимымиым;7.5
SR000087;епымуло 0087;омола 0087;ICE1-2001;сведиасг йаи амакусг акцояихлым;P1-2050;сведиасг йаи амакусг акцояихлым;10
SR000087;епымуло 0087;омола 0087;ICE1-2005;ьгжиайг сведиасг;P1-2010;ьгжиайг сведиасг;0.3
SR000087;епымуло 0087;омола 0087;ICE1-3002;гкейтяомийг;P1-3020;гкейтяомийг;3.5
SR000087;епымуло 0087;омола 0087;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;10
SR000087;епымуло 0087;омола 0087;ICE1-4003;кеитоуяцийа сустглата ии;P1-4030;кеитоуяцийа сустглата ии;10
SR000087;епымуло 0087;омола 0087;ICE1-4004;леходокоциес амаптунгс ежаялоцым;P1-4040;леходокоциес амаптунгс ежаялоцым;10
SR000087;епымуло 0087;омола 0087;ICE1-6002;асжакеиа стгм тевмокоциа тгс пкгяожояиас;P1-6010;асжакеиа стгм тевмокоциа тгс пкгяожояиас;2.9
SR000088;епымуло 0088;омола 0088;ICE1-4002;дийтуа упокоцистым ии;P1-4020;дийтуа упокоцистым ии;7.5
SR000088;епымуло 0088;омола 0088;ICE1-5004;тевмгтг моглосумг;P1-5030;тевмгтг моглосумг;0.3
SR000088;епымуло 0088;омола 0088;ICE1-6002;асжакеиа стгм тевмокоциа тгс пкгяожояиас;P1-6010;асжакеиа стгм тевмокоциа тгс пкгяожояиас;7.5
SR000088;епымуло 0088;омола 0088;ICE1-6005;йатамелглема сустглата;P1-9325;йатамелглема сустглата;0.3
SR000088;епымуло 0088;омола 0088;ICE1-7110;пкгяожояиайа сустглата диоийгсгс;P1-9170;пкгяожояиайа сустглата диоийгсгс;0.3
SR000088;епымуло 0088;омола 0088;ICE1-8107;гкейтяомийо елпояио - епивеияглатийотгта;P1-9160;гкейтяомийо елпояио - епивеияглатийотгта;8.6
SR000089;епымуло 0089;омола 0089;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;7.5
SR000089;епымуло 0089;омола 0089;ICE1-2002;пихамотгтес йаи статистийг;P1-2020;пихамотгтес йаи статистийг;0.3
SR000089;епымуло 0089;омола 0089;ICE1-3005;кеитоуяцийа сустглата и;P1-3050;кеитоуяцийа сустглата и;7.5
SR000089;епымуло 0089;омола 0089;ICE1-5001;басеис дедолемым ии;P1-4010;басеис дедолемым ии;0.3
SR000090;епымуло 0090;омола 0090;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;7.5
SR000091;епымуло 0091;омола 0091;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;10
SR000091;епымуло 0091;омола 0091;ICE1-2001;сведиасг йаи амакусг акцояихлым;P1-2050;сведиасг йаи амакусг акцояихлым;4.2
SR000091;епымуло 0091;омола 0091;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;10
SR000091;епымуло 0091;омола 0091;ICE1-3004;дийтуа упокоцистым и;P1-3040;дийтуа упокоцистым и;3.4
SR000094;епымуло 0094;омола 0094;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;0.3
